Supplier,Cost (USD),Quality (1-10),Production (units/day),Eco-design (1-10),Delivery (days),Green Image (1-10),Pollution & Waste Generation (kg),Waste Management System (1-10),Pollution Control (1-10),Green Design (1-10),Environmentally Friendly Technologies (1-10),Reduced Green Packaging (1-10),Remanufacturing/Reuse Facility (1-10),Resource Consumption (units/day),Speed (1-10),Flexibility (1-10),Local Community Influence (1-10)
A,70,8,7,9,5,8,120,9,7,8,9,7,8,120,9,8,6
B,60,9,8,7,7,9,150,8,6,7,8,6,9,110,7,6,7
C,85,7,6,6,6,6,110,7,8,6,7,8,6,130,8,7,9
D,75,6,7,8,8,7,130,6,9,8,6,9,7,100,6,9,8
E,65,8,9,7,4,8,140,8,6,9,8,7,8,140,9,7,6
P,72,8,7,9,5,8,125,9,8,8,9,8,8,120,9,8,7
Q,66,9,6,7,4,7,115,7,9,7,7,9,6,110,8,7,8
R,80,7,9,6,6,9,145,8,7,6,8,7,7,135,6,9,7
S,78,6,8,8,7,6,130,6,6,9,6,8,9,140,7,8,6
T,63,9,6,7,5,9,115,7,8,9,7,9,6,125,9,7,8
